date,compliance1,compliance2,compliance3
2020-02-04,0.0,0.0,0.0
2020-02-05,0.004262384145351548,0.016910665828697952,0.024529227623155084
2020-02-06,0.008197923951383551,0.03360787211099428,0.0486591605766631
2020-02-07,0.011806619418096008,0.05009161884688898,0.07238979886052402
2020-02-08,0.015088470545488921,0.06636190603638206,0.09572114247473788
2020-02-09,0.018043477333562288,0.08241873367947351,0.11865319141930467
2020-02-10,0.020671639782316117,0.09826210177616337,0.14118594569422438
2020-02-11,0.022972957891750394,0.11389201032645155,0.16331940529949698
2020-02-12,0.024947431661865124,0.12930845933033813,0.18505357023512253
2020-02-13,0.026595061092660306,0.14451144878782307,0.20638844050110097
2020-02-14,0.027915846184135954,0.15950097869890642,0.22732401609743236
2020-02-15,0.02890978693629205,0.17427704906358812,0.24786029702411666
2020-02-16,0.029576883349128606,0.1888396598818682,0.2679972832811539
2020-02-17,0.029917135422645614,0.20318881115374665,0.28773497486854405
2020-02-18,0.029930543156843084,0.2173245028792235,0.30707337178628713
2020-02-19,0.029617106551721006,0.23124673505829874,0.32601247403438316
2020-02-20,0.028976825607279374,0.2449555076909723,0.344552281612832
2020-02-21,0.028009700323518218,0.2584508207772443,0.36269279452163394
2020-02-22,0.026715730700437493,0.2717326743171146,0.3804340127607887
2020-02-23,0.025094916738037227,0.2848010683105833,0.3977759363302964
2020-02-24,0.023147258436317424,0.2976560027576504,0.41471856523015693
2020-02-25,0.020872755795278076,0.3102974776583159,0.4312618994603705
2020-02-26,0.018271408814919184,0.32272549301257974,0.44740593902093695
2020-02-27,0.015343217495240747,0.3349400488204419,0.4631506839118564
2020-02-28,0.012088181836242766,0.3469411450819025,0.47849613413312864
2020-02-29,0.00850630183792522,0.35872878179696155,0.4934422896847539
2020-03-01,0.004597577500288157,0.3703029589656188,0.507989150566732
2020-03-02,0.0003620088233315319,0.3816636765878746,0.522136716779063
2020-03-03,-0.00420040419294462,0.3928109346637287,0.5358849883217471
2020-03-04,-0.009089661548540334,0.4037447331931811,0.549233965194784
2020-03-05,-0.014305763243455595,0.41446507217623196,0.5621836473981738
2020-03-06,-0.019848709277690404,0.42497195161288126,0.5747340349319165
2020-03-07,-0.02571849965124473,0.43526537150312883,0.5868851277960123
2020-03-08,-0.03191513436411863,0.4453453318469748,0.5986369259904608
2020-03-09,-0.038438613416312065,0.4552118326444192,0.6099894295152624
2020-03-10,-0.04528893680782504,0.4648648738954618,0.6209426383704169
2020-03-11,-0.052466104538657576,0.474304455600103,0.6314965525559241
2020-03-12,-0.059970116608809645,0.4835305777583425,0.6416511720717845
2020-03-13,-0.06780097301828125,0.4925432403701803,0.6514064969179976
2020-03-14,-0.0759586737670724,0.5013424434356165,0.6607625270945638
2020-03-15,-0.08444321885518309,0.5099281869546511,0.6697192626014828
2020-03-16,-0.09325460828261337,0.5183004709272842,0.6782767034387549
2020-03-17,-0.10239284204936316,0.5264592953535155,0.6864348496063798
2020-03-18,-0.1118579201554325,0.5344046602333452,0.6941937011043575
2020-03-19,-0.12164984260082137,0.5421365655667734,0.7015532579326882
2020-03-20,-0.1317686093855298,0.5496550113537999,0.708513520091372
2020-03-21,-0.14221422050955776,0.5569599975944246,0.7150744875804085
2020-03-22,-0.15298667597290527,0.5640515242886479,0.721236160399798
2020-03-23,-0.16408597577557232,0.5709295914364694,0.7269985385495403
2020-03-24,-0.17551211991755894,0.5775941990378894,0.7323616220296358
2020-03-25,-0.18726510839886512,0.5840453470929079,0.7373254108400842
2020-03-26,-0.19934494121949078,0.5902830356015245,0.7418899049808851
2020-03-27,-0.21175161837943604,0.5963072645637397,0.7460551044520394
2020-03-28,-0.2244851398787008,0.6021180339795531,0.7498210092535463
2020-03-29,-0.23754550571728517,0.6077153438489651,0.7531876193854063
2020-03-30,-0.25093271589518906,0.6130991941719753,0.7561549348476193
2020-03-31,-0.2646467704124124,0.6182695849485839,0.758722955640185
2020-04-01,-0.2786876692689554,0.6232265161787909,0.7608916817631037
2020-04-02,-0.2930554124648179,0.6279699878625962,0.7626611132163754
2020-04-03,-0.30774999999999997,0.6325000000000001,0.76403125
2020-04-04,-0.3227714318745016,0.6368165525910021,0.7650020921139775
2020-04-05,-0.33811970808832276,0.6409196456356026,0.7655736395583079
2020-04-06,-0.3535490077180862,0.6448170098046795,0.765761496558931
2020-04-07,-0.3675844052235294,0.6485550291235023,0.765659288471486
2020-04-08,-0.3799800796812749,0.6521414342629481,0.7652826195219123
2020-04-09,-0.3907360310913229,0.655576225223018,0.7646314897102103
2020-04-10,-0.3998522594536732,0.6588594020037111,0.7637058990363799
2020-04-11,-0.407328764768326,0.6619909646050282,0.7625058475004209
2020-04-12,-0.41316554703528124,0.6649709130269688,0.7610313351023338
2020-04-13,-0.4176569643294794,0.668045879419515,0.7593106263547561
2020-04-14,-0.421097374725861,0.6714624959326487,0.7573719857703259
2020-04-15,-0.42348677822442615,0.6752207625663702,0.7552154133490436
2020-04-16,-0.4248251748251748,0.6793206793206794,0.7528409090909092
2020-04-17,-0.42511256452810686,0.6837622461955761,0.7502484729959221
2020-04-18,-0.42434894733322254,0.6885454631910606,0.747438105064083
2020-04-19,-0.42253432324052154,0.6936703303071325,0.7444098052953914
2020-04-20,-0.419668692250004,0.6991368475437922,0.7411635736898476
2020-04-21,-0.41621408604277915,0.7047895311289916,0.7377656795300522
2020-04-22,-0.4149426947055008,0.7096954784304406,0.7346137385116093
2020-04-23,-0.41631654991927824,0.7136992056760919,0.7317740199171197
2020-04-24,-0.42033565168411124,0.7168007128659448,0.7292465237465832
2020-04-25,-0.42700000000000005,0.719,0.72703125
2020-04-26,-0.4363095948669444,0.7202970670782569,0.72512819867737
2020-04-27,-0.4482644362849445,0.7206919141007158,0.7235373697786932
2020-04-28,-0.46286452425400015,0.7201845410673764,0.7222587633039694
2020-04-29,-0.47616857090182435,0.7196798294441614,0.7210031023249919
2020-04-30,-0.4842352883561293,0.7200826606969928,0.7194811099135525
2020-05-01,-0.48706467661691544,0.7213930348258707,0.7176927860696517
2020-05-02,-0.4846567356841825,0.723610951830795,0.7156381307932895
2020-05-03,-0.47701146555793056,0.7267364117117657,0.7133171440844656
2020-05-04,-0.46412886623815974,0.7307694144687832,0.7107298259431802
2020-05-05,-0.4502020813960633,0.7352007949445833,0.7078709358394231
2020-05-06,-0.4394242547028353,0.7395213879819031,0.7047352332431843
2020-05-07,-0.43179538615847546,0.7437311935807422,0.7013227181544635
2020-05-08,-0.4273154757629838,0.7478302117411009,0.6976333905732606
2020-05-09,-0.4259845235163603,0.7518184424629791,0.693667250499576
2020-05-10,-0.4278025294186051,0.7556958857463768,0.6894242979334095
2020-05-11,-0.43238977985368576,0.7594335112710822,0.6849289129016963
2020-05-12,-0.4374679931254075,0.7628571371158239,0.6803273755660469
2020-05-13,-0.442657455617738,0.76593773296039,0.6756440659533964
2020-05-14,-0.4479581673306773,0.7686752988047809,0.670878984063745
2020-05-15,-0.4533701282642254,0.7710698346489965,0.6660321298970928
2020-05-16,-0.4588933384183822,0.7731213404930365,0.6611035034534394
2020-05-17,-0.4645277977931478,0.774829816336901,0.6560931047327849
2020-05-18,-0.47027350638852217,0.7761952621805901,0.6510009337351296
2020-05-19,-0.4761304642045052,0.7772176780241038,0.6458269904604732
2020-05-20,-0.48209867124109723,0.7778970638674421,0.6405712749088158
2020-05-21,-0.48817812749829775,0.7782334197106049,0.6352337870801574
2020-05-22,-0.49420354115007153,0.778436274724861,0.629839644351569
2020-05-23,-0.5000096203703825,0.7787151580814791,0.6244139641001216
2020-05-24,-0.5055963651592312,0.7790700697804593,0.6189567463258152
2020-05-25,-0.5109637755166173,0.7795010098218015,0.61346799102865
2020-05-26,-0.5161118514425409,0.7800079782055058,0.6079476982086257
2020-05-27,-0.5210405929370018,0.780590974931572,0.6023958678657424
2020-05-28,-0.5257499999999999,0.78125,0.5968125
2020-05-29,-0.5302400726315357,0.7819850534107904,0.5911975946113988
2020-05-30,-0.534510810831609,0.7827961351639425,0.5855511516999385
2020-05-31,-0.5385622146002197,0.7836832452594569,0.5798731712656193
2020-06-01,-0.5423942839373678,0.7846463836973332,0.5741636533084411
2020-06-02,-0.5460070188430532,0.7856855504775714,0.5684225978284039
2020-06-03,-0.5494004193172763,0.7868007456001718,0.5626500048255078
2020-06-04,-0.5525744853600367,0.787991969065134,0.5568458742997526
2020-06-05,-0.5555292169713346,0.7892592208724585,0.5510102062511385
2020-06-06,-0.5582646141511698,0.7906025010221448,0.5451430006796654
2020-06-07,-0.5607806768995426,0.7920218095141932,0.5392442575853333
2020-06-08,-0.5630774052164527,0.7935171463486035,0.5333139769681421
2020-06-09,-0.5651547991019004,0.795088511525376,0.527352158828092
2020-06-10,-0.5670128585558852,0.7967359050445104,0.521358803165183
